Date,Open,High,Low,Close,Adj Close,Volume
2020-12-01,7.490000,7.580000,7.390000,7.450000,6.792274,5658400
2020-12-02,7.490000,8.090000,7.480000,8.040000,7.330186,21284800
2020-12-03,8.150000,8.520000,7.960000,8.370000,7.631052,21120900
2020-12-04,8.440000,8.550000,8.140000,8.320000,7.585465,9819900
2020-12-07,8.300000,8.460000,8.040000,8.190000,7.466943,7968700
2020-12-08,8.170000,8.280000,8.070000,8.210000,7.485177,5464000
2020-12-09,8.230000,8.400000,7.900000,8.120000,7.403123,8173100
2020-12-10,8.150000,8.190000,7.840000,8.100000,7.384890,7127200
2020-12-11,8.050000,8.230000,7.980000,8.100000,7.384890,5810900
2020-12-14,8.110000,8.290000,8.100000,8.170000,7.448709,5887300
2020-12-15,8.170000,8.320000,8.040000,8.140000,7.421358,5632600
2020-12-16,8.150000,8.180000,7.900000,8.090000,7.375772,6784600
2020-12-17,8.080000,8.200000,7.960000,8.010000,7.302835,6058600
2020-12-18,7.980000,8.060000,7.740000,7.850000,7.156960,9588300
2020-12-21,7.520000,7.810000,7.370000,7.690000,7.011086,8609800
2020-12-22,7.710000,7.750000,7.450000,7.470000,6.810508,5054400
2020-12-23,7.470000,7.620000,7.430000,7.500000,6.837860,6528800
2020-12-28,7.510000,7.710000,7.500000,7.650000,6.974617,6259700
2020-12-29,7.690000,7.770000,7.620000,7.650000,6.974617,5126400
2020-12-30,7.680000,7.920000,7.680000,7.810000,7.120492,18157200
2021-01-04,7.850000,7.860000,7.380000,7.440000,6.783157,11932300
2021-01-05,7.400000,7.480000,7.160000,7.360000,6.710220,9968400
2021-01-06,7.390000,7.390000,7.070000,7.070000,6.445823,9928300
2021-01-07,7.120000,7.220000,6.960000,7.020000,6.400237,8564200
2021-01-08,6.980000,7.490000,6.980000,7.400000,6.746688,11209600
2021-01-11,7.290000,7.350000,7.040000,7.120000,6.491409,8276600
2021-01-12,null,null,null,null,null,null
2021-01-13,7.220000,7.360000,7.120000,7.170000,6.536994,8933700
2021-01-14,7.170000,7.430000,7.170000,7.330000,6.682868,10788900
2021-01-15,7.450000,7.720000,7.340000,7.480000,6.819626,18258400
2021-01-18,7.630000,7.670000,7.390000,7.410000,6.755805,9306700
2021-01-19,7.450000,7.500000,7.230000,7.340000,6.691986,5708100
2021-01-20,7.360000,7.460000,7.230000,7.350000,6.701103,6344700
2021-01-21,7.330000,7.370000,7.060000,7.160000,6.527877,6405800
2021-01-22,7.040000,7.170000,6.880000,7.060000,6.436706,7308200
2021-01-26,7.090000,7.450000,6.980000,7.040000,6.418471,12130400
2021-01-27,7.020000,7.250000,6.890000,7.060000,6.436706,9358600
2021-01-28,7.090000,7.430000,7.050000,7.330000,6.682868,10466200
2021-01-29,7.280000,7.650000,7.220000,7.220000,6.582580,13974800
2021-02-01,7.350000,7.400000,7.230000,7.330000,6.682868,6769400
2021-02-02,7.470000,7.690000,7.410000,7.610000,6.938149,14167800
2021-02-03,7.620000,8.000000,7.570000,7.880000,7.184312,20101300
2021-02-04,7.910000,8.110000,7.580000,7.630000,6.956383,14868200
2021-02-05,7.680000,7.730000,7.520000,7.590000,6.919914,9648600
2021-02-08,7.580000,7.680000,7.490000,7.580000,6.910797,6263700
2021-02-09,7.570000,7.570000,7.280000,7.350000,6.701103,7289100
2021-02-10,7.320000,7.380000,6.990000,7.080000,6.454939,10783900
2021-02-11,7.120000,7.270000,7.060000,7.230000,6.591697,6073000
2021-02-12,null,null,null,null,null,null
2021-02-17,null,null,null,null,null,null
2021-02-18,7.190000,7.440000,7.120000,7.420000,6.764923,11069900
2021-02-19,7.380000,7.400000,7.160000,7.200000,6.564345,11522000
2021-02-22,6.990000,7.060000,6.820000,6.890000,6.281714,10354100
2021-02-23,6.970000,7.040000,6.840000,6.890000,6.281714,6182600
2021-02-24,6.940000,6.980000,6.770000,6.800000,6.199660,6721800
2021-02-25,6.790000,6.920000,6.620000,6.660000,6.072020,9719200
2021-02-26,6.690000,6.730000,6.380000,6.480000,5.907911,12315800
2021-03-01,6.550000,6.680000,6.470000,6.530000,5.953497,7118000
2021-03-02,6.460000,6.680000,6.280000,6.660000,6.072020,9019600
2021-03-03,6.560000,6.650000,6.270000,6.590000,6.008200,6136800
2021-03-04,6.550000,6.970000,6.530000,6.880000,6.272597,9677100
2021-03-05,6.850000,6.980000,6.760000,6.870000,6.263480,4773600
2021-03-08,6.790000,6.800000,6.380000,6.400000,5.834974,5112800
2021-03-09,6.410000,6.470000,6.210000,6.220000,5.670865,5007900
2021-03-10,6.240000,6.530000,6.140000,6.460000,5.889677,7105200
2021-03-11,6.540000,6.770000,6.520000,6.760000,6.163191,6231300
2021-03-12,null,null,null,null,null,null
2021-03-15,6.760000,7.110000,6.730000,7.040000,6.418471,6760700
2021-03-16,7.050000,7.100000,6.630000,6.690000,6.099371,5660700
2021-03-17,6.690000,7.270000,6.640000,7.200000,6.564345,10431100
2021-03-18,7.100000,7.210000,6.830000,6.860000,6.254363,5096200
2021-03-19,6.880000,7.140000,6.860000,7.040000,6.418471,5338800
2021-03-22,7.030000,7.240000,7.030000,7.120000,6.491409,6342700
2021-03-23,7.020000,7.220000,6.950000,7.000000,6.382003,3742900
2021-03-24,7.030000,7.080000,6.780000,6.780000,6.181426,3692200
2021-03-25,6.750000,7.030000,6.640000,6.950000,6.336417,3799100
2021-03-26,6.990000,6.990000,6.670000,6.740000,6.144957,4266800
2021-03-29,6.700000,6.790000,6.640000,6.730000,6.135839,3446900
2021-03-30,6.750000,7.170000,6.680000,7.140000,6.509643,7004300
2021-03-31,7.140000,7.150000,6.900000,6.960000,6.345534,6018600
2021-04-01,7.020000,7.140000,6.800000,6.830000,6.421505,7776000
2021-04-05,6.730000,6.820000,6.610000,6.790000,6.586775,6851400
2021-04-06,6.770000,6.980000,6.740000,6.920000,6.712884,5049200
2021-04-07,6.980000,6.980000,6.760000,6.820000,6.615878,5591400
2021-04-08,6.810000,6.920000,6.780000,6.800000,6.596476,4271400
2021-04-09,6.770000,6.960000,6.700000,6.870000,6.664381,4709400
2021-04-12,null,null,null,null,null,null
2021-04-13,6.840000,6.980000,6.780000,6.870000,6.664381,6234400
2021-04-14,7.030000,7.280000,6.900000,6.910000,6.703184,16926300
2021-04-15,6.930000,7.050000,6.900000,6.930000,6.722585,6075500
2021-04-16,6.960000,7.140000,6.880000,7.030000,6.819592,7651300
2021-04-19,7.030000,7.140000,6.950000,7.050000,6.838994,6354200
2021-04-20,7.070000,7.220000,7.000000,7.050000,6.838994,6088300
2021-04-22,7.090000,7.150000,6.880000,6.930000,6.722585,5245300
2021-04-23,6.960000,7.070000,6.920000,6.970000,6.761388,3782700
2021-04-26,6.980000,7.140000,6.950000,7.060000,6.848694,4583800
2021-04-27,7.050000,7.110000,6.920000,6.940000,6.732286,4016500
2021-04-28,6.980000,7.000000,6.830000,6.880000,6.674082,4214600
2021-04-29,6.880000,6.940000,6.800000,6.850000,6.644979,4714600
2021-04-30,6.800000,6.880000,6.720000,6.830000,6.625578,7503300
2021-05-03,6.840000,7.030000,6.730000,6.970000,6.761388,6096600
2021-05-04,6.950000,7.020000,6.850000,6.890000,6.683782,3491500
2021-05-05,6.900000,7.190000,6.880000,7.110000,6.897198,8059000
