Date,Open,High,Low,Close,Adj Close,Volume
2020-12-01,18.000000,18.040001,17.129999,17.150000,17.150000,67786900
2020-12-02,17.209999,17.480000,16.959999,17.120001,17.120001,44684000
2020-12-03,17.209999,17.549999,17.010000,17.209999,17.209999,45142000
2020-12-04,17.389999,17.850000,17.219999,17.510000,17.510000,41766800
2020-12-07,17.700001,17.840000,17.270000,17.430000,17.430000,36992400
2020-12-08,17.410000,18.139999,17.330000,17.700001,17.700001,39730900
2020-12-09,17.750000,17.850000,17.150000,17.209999,17.209999,37509900
2020-12-10,17.299999,17.350000,16.650000,17.020000,17.020000,46566800
2020-12-11,16.900000,17.120001,16.740000,16.820000,16.820000,40625100
2020-12-14,16.879999,17.100000,16.730000,16.830000,16.830000,33155700
2020-12-15,16.830000,17.350000,16.809999,17.020000,17.020000,36732000
2020-12-16,17.049999,17.219999,16.840000,17.100000,17.100000,37941400
2020-12-17,17.110001,17.250000,16.870001,16.969999,16.969999,24000900
2020-12-18,16.930000,17.139999,16.809999,16.820000,16.820000,31547800
2020-12-21,15.000000,16.700001,14.710000,16.150000,16.150000,66226900
2020-12-22,16.350000,16.450001,15.860000,15.940000,15.940000,39309400
2020-12-23,15.850000,16.580000,15.710000,16.129999,16.129999,39829300
2020-12-28,16.400000,16.700001,16.000000,16.590000,16.590000,35939400
2020-12-29,16.639999,16.840000,16.480000,16.580000,16.580000,29555500
2020-12-30,16.610001,16.780001,16.160000,16.160000,16.160000,36903300
2021-01-04,16.490000,16.770000,15.960000,16.170000,16.170000,44372400
2021-01-05,16.010000,16.350000,15.650000,16.219999,16.219999,41436700
2021-01-06,16.100000,16.139999,15.400000,15.490000,15.490000,49797300
2021-01-07,15.700000,15.810000,14.920000,15.080000,15.080000,70842700
2021-01-08,15.120000,15.820000,15.080000,15.530000,15.530000,58505800
2021-01-11,15.250000,15.450000,14.980000,15.120000,15.120000,36385200
2021-01-12,null,null,null,null,null,null
2021-01-13,15.100000,15.200000,14.800000,14.850000,14.850000,40716600
2021-01-14,14.920000,15.000000,14.670000,14.900000,14.900000,41191200
2021-01-15,14.900000,14.900000,14.530000,14.580000,14.580000,41681000
2021-01-18,14.690000,15.000000,14.410000,14.540000,14.540000,44490700
2021-01-19,14.640000,14.770000,14.240000,14.320000,14.320000,29221200
2021-01-20,14.380000,15.040000,14.340000,14.570000,14.570000,64048300
2021-01-21,14.700000,14.770000,13.920000,14.260000,14.260000,56266300
